S Ladda,0,0
VR Aaron,0,0
KJ Abbott,13.00,162.50
AD Nath,6.66,74.07
MA Agarwal,9.00,108.00
HM Amla,26.16,131.93
Ankit Sharma,0,100.00
Anureet Singh,0,0
S Aravind,0,0
A Ashish Reddy,23.50,162.06
M Ashwin,0.00,0.00
R Ashwin,20.50,107.89
GJ Bailey,21.00,85.71
F Behardien,7.00,107.69
R Bhatia,34.00,170.00
SW Billings,22.00,137.50
STR Binny,15.75,161.53
Bipul Sharma,25.50,204.00
SM Boland,0,0
TA Boult,0,0
CR Brathwaite,13.83,218.42
DJ Bravo,12.37,120.73
JJ Bumrah,8.00,72.72
JC Buttler,23.18,138.58
KC Cariappa,13.00,118.18
YS Chahal,0,0
DL Chahar,0,0
UBT Chand,0.00,0.00
PP Chawla,9.00,103.84
NM Coulter-Nile,0,64.28
BCJ Cutting,32.50,191.17
Q de Kock,37.08,136.08
AB de Villiers,52.84,168.79
R Dhawan,0,233.33
S Dhawan,38.53,116.78
MS Dhoni,40.57,135.23
AB Dinda,0,0
JP Duminy,38.20,122.43
F du Plessis,34.33,127.16
ER Dwivedi,12.00,171.42
JP Faulkner,25.66,130.50
AJ Finch,39.30,131.43
G Gambhir,38.53,121.89
CH Gayle,22.70,151.33
S Gopal,2.00,12.50
MJ Guptill,19.00,103.63
Gurkeerat Singh,22.60,131.39
PSP Handscomb,6.00,50.00
Harbhajan Singh,30.66,109.52
JW Hastings,0,0
TM Head,27.00,135.00
MC Henriques,15.16,115.18
GB Hogg,0,0
JO Holder,5.50,115.78
DJ Hooda,10.28,119.00
Imran Tahir,5.00,71.42
Iqbal Abdulla,0,137.03
Ishan Kishan,8.40,102.43
SS Iyer,5.00,69.76
RA Jadeja,21.22,107.90
KM Jadhav,0,131.25
SB Jakati,0,50.00
MG Johnson,2.50,35.71
CJ Jordan,3.00,75.00
KD Karthik,25.76,125.93
S Kaushik,0.00,0.00
SN Khan,33.00,212.90
Z Khan,3.00,46.15
UT Khawaja,21.16,127.00
V Kohli,81.08,152.03
Kuldeep Yadav,0,0
DS Kulkarni,13.50,168.75
B Kumar,7.16,159.25
P Kumar,6.00,92.30
CA Lynn,25.00,113.63
MJ McClenaghan,11.33,147.82
BB McCullum,22.12,135.11
Mandeep Singh,0,0
MR Marsh,7.00,63.63
SE Marsh,31.80,118.65
GJ Maxwell,19.88,144.35
DA Miller,16.10,122.90
AF Milne,0,0
A Mishra,2.00,28.57
Mohammed Shami,0,50.00
EJG Morgan,24.60,117.14
JA Morkel,16.00,177.77
M Morkel,0,100.00
CH Morris,65.00,178.89
C Munro,10.00,100.00
Mustafizur Rahman,0,0
S Nadeem,0,20.00
NS Naik,11.50,74.19
KK Nair,35.70,120.20
SP Narine,7.00,53.84
P Negi,28.50,96.61
A Nehra,0,100.00
NV Ojha,13.60,98.55
MK Pandey,31.00,135.51
HH Pandya,6.28,69.84
KH Pandya,39.50,191.12
RR Pant,24.75,130.26
Parvez Rasool,10.00,111.11
AR Patel,15.85,144.15
HV Patel,0,0
PA Patel,17.70,116.44
IK Pathan,3.66,84.61
YK Pathan,72.20,145.56
NLTC Perera,21.42,161.29
KP Pietersen,36.50,119.67
KA Pollard,25.87,143.75
AM Rahane,43.63,126.64
KL Rahul,44.11,146.49
SK Raina,28.50,127.88
AS Rajpoot,0,0
N Rana,34.66,138.66
AT Rayudu,30.36,120.14
KW Richardson,0,100.00
AD Russell,26.85,164.91
Sachin Baby,29.75,150.63
WP Saha,24.54,127.35
P Sahu,19.00,146.15
SV Samson,26.45,112.35
Sandeep Sharma,0,88.88
PJ Sangwan,0,0
R Sathish,8.00,100.00
T Shamsi,0,0
Shakib Al Hasan,22.80,107.54
I Sharma,0,0
KV Sharma,0,120.00
MM Sharma,8.00,123.07
RG Sharma,44.45,132.88
LMP Simmons,8.00,100.00
RP Singh,0,0
DR Smith,29.45,146.60
SPD Smith,45.00,153.40
TG Southee,10.00,157.89
BB Sran,0,100.00
DW Steyn,1.00,50.00
MP Stoinis,36.50,135.18
J Suchith,0,0
Swapnil Singh,0.00,0.00
PV Tambe,0,36.84
AP Tare,4.00,53.33
SS Tiwary,24.28,120.56
JD Unadkat,0,0
RV Uthappa,26.26,136.33
M Vijay,34.84,124.45
R Vinay Kumar,13.00,108.33
M Vohra,23.00,122.90
DA Warner,60.57,151.42
SR Watson,13.76,133.58
D Wiese,0,125.00
KS Williamson,20.66,101.63
J Yadav,3.00,60.00
SA Yadav,26.00,127.27
UT Yadav,9.00,180.00
Yuvraj Singh,26.22,131.84
A Zampa,0.00,0.00
