S Ladda,0,10.50
VR Aaron,113.50,9.59
KJ Abbott,88.50,11.06
AD Nath,0,0
MA Agarwal,0,0
HM Amla,0,0
Ankit Sharma,84.00,7.63
Anureet Singh,0,7.16
S Aravind,19.63,7.40
A Ashish Reddy,39.00,10.17
M Ashwin,34.42,8.45
R Ashwin,31.90,7.25
GJ Bailey,0,0
F Behardien,0,0
R Bhatia,40.66,7.17
SW Billings,0,0
STR Binny,134.00,7.88
Bipul Sharma,40.33,8.64
SM Boland,27.00,7.71
TA Boult,39.00,9.75
CR Brathwaite,27.00,8.15
DJ Bravo,29.05,8.82
JJ Bumrah,27.06,7.80
JC Buttler,0,0
KC Cariappa,53.00,9.35
YS Chahal,19.09,8.15
DL Chahar,0,8.20
UBT Chand,0,0
PP Chawla,24.81,7.72
NM Coulter-Nile,38.00,7.60
BCJ Cutting,16.00,7.16
Q de Kock,0,0
AB de Villiers,0,0
R Dhawan,28.00,8.00
S Dhawan,0,0
MS Dhoni,0,0
AB Dinda,21.00,7.57
JP Duminy,27.50,7.85
F du Plessis,0,0
ER Dwivedi,0,0
JP Faulkner,83.50,9.82
AJ Finch,0,0
G Gambhir,0,0
CH Gayle,31.50,6.30
S Gopal,0,6.00
MJ Guptill,0,0
Gurkeerat Singh,15.50,7.75
PSP Handscomb,0,0
Harbhajan Singh,43.55,8.00
JW Hastings,18.50,5.55
TM Head,0,0
MC Henriques,34.58,7.98
GB Hogg,35.50,8.87
JO Holder,51.50,7.92
DJ Hooda,32.33,7.46
Imran Tahir,27.60,8.62
Iqbal Abdulla,35.50,8.52
Ishan Kishan,0,0
SS Iyer,0,0
RA Jadeja,38.87,7.74
KM Jadhav,0,0
SB Jakati,89.00,8.90
MG Johnson,53.00,9.63
CJ Jordan,23.45,9.21
KD Karthik,0,0
S Kaushik,32.00,8.34
SN Khan,0,0
Z Khan,33.70,7.71
UT Khawaja,0,0
V Kohli,0,13.00
Kuldeep Yadav,16.66,8.33
DS Kulkarni,20.22,7.42
B Kumar,21.30,7.42
P Kumar,44.55,7.78
CA Lynn,0,0
MJ McClenaghan,25.64,8.17
BB McCullum,0,0
Mandeep Singh,0,0
MR Marsh,11.25,5.00
SE Marsh,0,0
GJ Maxwell,0,8.88
DA Miller,0,0
AF Milne,43.00,10.75
A Mishra,26.46,7.47
Mohammed Shami,48.80,9.69
EJG Morgan,0,0
JA Morkel,33.00,13.20
M Morkel,29.70,8.36
CH Morris,23.69,7.00
C Munro,0,7.50
Mustafizur Rahman,24.76,6.90
S Nadeem,63.50,8.46
NS Naik,0,0
KK Nair,0,0
SP Narine,27.63,7.12
P Negi,84.00,9.33
A Nehra,22.11,7.65
NV Ojha,0,0
MK Pandey,0,0
HH Pandya,51.00,9.18
KH Pandya,39.33,7.57
RR Pant,0,0
Parvez Rasool,129.00,9.21
AR Patel,29.84,8.11
HV Patel,147.00,10.50
PA Patel,0,0
IK Pathan,0,7.62
YK Pathan,33.00,5.50
NLTC Perera,36.22,9.82
KP Pietersen,0,0
KA Pollard,0,13.50
AM Rahane,0,0
KL Rahul,0,0
SK Raina,0,8.20
AS Rajpoot,32.66,8.90
N Rana,0,3.00
AT Rayudu,0,0
KW Richardson,19.42,9.71
AD Russell,19.40,7.97
Sachin Baby,4.00,4.80
WP Saha,0,0
P Sahu,48.66,8.34
SV Samson,0,0
Sandeep Sharma,24.40,7.32
PJ Sangwan,0,12.25
R Sathish,59.00,9.83
T Shamsi,49.00,9.18
Shakib Al Hasan,48.60,7.83
I Sharma,49.33,9.86
KV Sharma,0,10.46
MM Sharma,31.30,8.39
RG Sharma,0,0
LMP Simmons,0,0
RP Singh,37.00,9.25
DR Smith,19.12,8.50
SPD Smith,0,0
TG Southee,36.55,7.65
BB Sran,29.50,8.34
DW Steyn,0,8.50
MP Stoinis,24.25,8.43
J Suchith,0,15.50
Swapnil Singh,0,9.66
PV Tambe,28.60,8.93
AP Tare,0,0
SS Tiwary,0,0
JD Unadkat,0,16.33
RV Uthappa,0,0
M Vijay,0,8.00
R Vinay Kumar,21.33,7.11
M Vohra,0,0
DA Warner,0,0
SR Watson,24.25,8.58
D Wiese,0,12.25
KS Williamson,0,7.00
J Yadav,62.50,7.35
SA Yadav,0,0
UT Yadav,23.40,9.00
Yuvraj Singh,0,8.43
A Zampa,9.58,6.76
