Kolkata Knight Riders,RV Uthappa
Kolkata Knight Riders,G Gambhir
Kolkata Knight Riders,MK Pandey
Kolkata Knight Riders,AD Russell
Kolkata Knight Riders,YK Pathan
Kolkata Knight Riders,SA Yadav
Kolkata Knight Riders,Sandeep Sharma
Kolkata Knight Riders,Anureet Singh
Kolkata Knight Riders,MM Sharma
Kolkata Knight Riders,MP Stoinis
Kolkata Knight Riders,AR Patel
Kolkata Knight Riders,KC Cariappa
Kolkata Knight Riders,BB McCullum
Kolkata Knight Riders,MS Bisla
Kolkata Knight Riders,JH Kallis
Kolkata Knight Riders,IK Pathan
Kolkata Knight Riders,S Sreesanth
Kolkata Knight Riders,YA Abdulla
Kolkata Knight Riders,PP Chawla
Kolkata Knight Riders,Yuvraj Singh
Kolkata Knight Riders,Bipul Sharma
Kolkata Knight Riders,RS Bopara
Kolkata Knight Riders,SP Goswami
Kolkata Knight Riders,MK Tiwary
Kolkata Knight Riders,EJG Morgan
Kolkata Knight Riders,RN ten Doeschate
Kolkata Knight Riders,B Lee
Kolkata Knight Riders,L Balaji
Kolkata Knight Riders,B Kumar
Kolkata Knight Riders,BB Sran
Kolkata Knight Riders,BCJ Cutting
Kolkata Knight Riders,Mustafizur Rahman
Kolkata Knight Riders,MC Henriques
Kolkata Knight Riders,DB Das
Kolkata Knight Riders,R Bhatia
Kolkata Knight Riders,LR Shukla
Kolkata Knight Riders,SP Narine
Kolkata Knight Riders,Iqbal Abdulla
Kolkata Knight Riders,CH Gayle
Kolkata Knight Riders,BJ Hodge
Kolkata Knight Riders,SC Ganguly
Kolkata Knight Riders,SB Bangar
Kolkata Knight Riders,Yashpal Singh
Kolkata Knight Riders,AB Agarkar
Kolkata Knight Riders,I Sharma
Kolkata Knight Riders,GH Vihari
Kolkata Knight Riders,DW Steyn
Kolkata Knight Riders,NLTC Perera
Kolkata Knight Riders,A Mishra
Kolkata Knight Riders,A Ashish Reddy
Kolkata Knight Riders,CL White
Kolkata Knight Riders,A Singh
Kolkata Knight Riders,M Morkel
Kolkata Knight Riders,MM Patel
Kolkata Knight Riders,LA Carseldine
Kolkata Knight Riders,SK Warne
Kolkata Knight Riders,RA Jadeja
