"('P Negi', 'SR Watson')","[0, 1, 0, 0, 0, 0, 0, 0]"
"('Mohammed Shami', 'JP Faulkner')","[1, 0, 0, 0, 1, 0, 0, 0]"
"('IK Pathan', 'Joginder Sharma')","[1, 1, 0, 0, 0, 0, 0, 0]"
"('M Kaif', 'R McLaren')","[1, 1, 1, 0, 0, 0, 0, 0]"
"('Y Venugopal Rao', 'Iqbal Abdulla')","[2, 5, 0, 0, 0, 0, 0, 0]"
"('STR Binny', 'CH Morris')","[4, 4, 1, 0, 3, 0, 0, 0]"
"('Gurkeerat Singh', 'A Nehra')","[3, 2, 1, 0, 2, 0, 0, 0]"
"('SA Asnodkar', 'A Symonds')","[6, 3, 2, 0, 2, 0, 1, 0]"
"('HH Gibbs', 'SK Warne')","[4, 1, 1, 0, 0, 0, 0, 0]"
"('JC Buttler', 'YS Chahal')","[2, 2, 0, 0, 0, 0, 1, 0]"
"('DJ Bravo', 'MM Sharma')","[0, 2, 0, 0, 0, 0, 0, 0]"
"('BB McCullum', 'BW Hilfenhaus')","[4, 0, 1, 0, 2, 0, 0, 0]"
"('G Gambhir', 'AB Dinda')","[5, 3, 3, 0, 4, 0, 2, 1]"
"('MD Mishra', 'SB Jakati')","[1, 1, 0, 0, 0, 0, 0, 0]"
"('CJ Anderson', 'A Nehra')","[7, 0, 0, 0, 1, 0, 0, 1]"
"('LMP Simmons', 'Sandeep Sharma')","[10, 8, 4, 0, 9, 0, 1, 0]"
"('GJ Bailey', 'AD Russell')","[4, 5, 1, 0, 2, 0, 0, 0]"
"('DR Smith', 'JA Morkel')","[16, 3, 6, 0, 9, 0, 2, 1]"
"('SA Yadav', 'SR Watson')","[3, 5, 0, 0, 1, 0, 1, 0]"
"('MN Samuels', 'HV Patel')","[1, 1, 0, 0, 0, 0, 0, 1]"
"('SR Watson', 'R Sharma')","[4, 2, 1, 0, 2, 0, 1, 0]"
"('JH Kallis', 'BAW Mendis')","[4, 3, 1, 0, 1, 0, 0, 0]"
"('JP Duminy', 'KH Pandya')","[0, 8, 0, 0, 0, 0, 0, 0]"
"('SB Styris', 'Mohammad Asif')","[0, 4, 1, 0, 2, 0, 0, 0]"
"('Azhar Mahmood', 'SK Trivedi')","[5, 6, 1, 0, 2, 0, 1, 0]"
"('AP Tare', 'JA Morkel')","[12, 1, 1, 0, 2, 0, 0, 2]"
"('SE Marsh', 'VS Malik')","[4, 0, 0, 0, 2, 0, 0, 1]"
"('B Akhil', 'UT Yadav')","[1, 1, 2, 0, 0, 0, 1, 0]"
"('MK Pandey', 'NM Coulter-Nile')","[5, 3, 0, 0, 2, 0, 0, 0]"
"('KC Sangakkara', 'M Manhas')","[3, 5, 0, 0, 0, 0, 1, 0]"
"('DPMD Jayawardene', 'DR Smith')","[1, 4, 0, 0, 0, 0, 1, 0]"
"('SPD Smith', 'DP Nannes')","[0, 1, 1, 0, 1, 0, 1, 0]"
"('M Vijay', 'RA Jadeja')","[6, 11, 1, 0, 1, 0, 0, 2]"
"('S Badree', 'VR Aaron')","[1, 1, 0, 0, 0, 0, 0, 0]"
"('RG Sharma', 'JP Faulkner')","[8, 3, 0, 0, 3, 0, 3, 3]"
"('AD Mathews', 'I Sharma')","[1, 2, 0, 0, 0, 0, 0, 0]"
"('SP Fleming', 'DP Vijaykumar')","[9, 1, 2, 0, 3, 0, 0, 1]"
"('MS Gony', 'PP Chawla')","[4, 1, 0, 0, 0, 0, 1, 1]"
"('J Botha', 'Shakib Al Hasan')","[1, 1, 0, 0, 0, 0, 0, 0]"
"('GC Smith', 'Y Venugopal Rao')","[0, 2, 1, 0, 0, 0, 0, 0]"
"('R Bhatia', 'JP Duminy')","[3, 1, 0, 0, 0, 0, 0, 0]"
"('CA Pujara', 'JR Hopes')","[1, 3, 0, 0, 0, 0, 0, 0]"
"('Swapnil Singh', 'JD Unadkat')","[4, 0, 0, 0, 0, 0, 0, 1]"
"('KK Nair', 'DJ Hooda')","[0, 8, 0, 0, 1, 0, 0, 0]"
"('LA Pomersbach', 'MS Gony')","[2, 1, 0, 0, 0, 0, 0, 0]"
"('Bipul Sharma', 'SK Trivedi')","[1, 3, 1, 0, 1, 0, 0, 0]"
"('SV Samson', 'K Santokie')","[2, 0, 0, 0, 0, 0, 0, 1]"
"('MS Bisla', 'KW Richardson')","[5, 0, 0, 0, 0, 0, 0, 1]"
"('P Kumar', 'BCJ Cutting')","[0, 2, 0, 0, 0, 0, 0, 0]"
"('SR Tendulkar', 'AJ Finch')","[10, 2, 2, 0, 2, 0, 0, 1]"
